Batch #, A, B, C, D, E, seed = 255, Batch size = 2
1, 30.36, 32.61, 7.24, 27.35, 29.7
2, 34.77, 37.88, 20.49, 31.58, 37.12
3, 34.96, 46.52, 24.25, 37.03, 39.66
4, 35.15, 47.09, 34.49, 37.97, 43.52
5, 35.15, 47.65, 42.76, 43.14, 49.06
6, 35.15, 53.67, 45.58, 44.17, 53.85
7, 35.15, 54.23, 45.96, 44.17, 55.64
8, 35.15, 55.36, 46.15, 53.29, 60.34
9, 35.15, 57.71, 51.41, 54.98, 62.5
10, 35.24, 58.18, 51.88, 55.55, 63.44
11, 35.24, 62.12, 52.35, 55.64, 64.29
12, 35.24, 62.12, 53.1, 55.64, 70.49
13, 35.24, 62.41, 53.1, 55.64, 72.18
14, 35.24, 62.41, 53.1, 55.64, 75.75
15, 35.24, 62.69, 54.23, 55.64, 75.94
16, 35.24, 62.69, 54.23, 56.48, 76.69
17, 37.59, 63.16, 54.89, 56.86, 77.44
18, 37.97, 63.16, 57.24, 56.86, 77.91
19, 38.63, 65.79, 57.24, 56.86, 79.04
20, 39.38, 65.79, 59.02, 59.49, 83.08
21, 39.38, 65.79, 59.02, 59.49, 83.74
22, 39.38, 65.79, 60.15, 59.49, 84.49
23, 39.38, 66.07, 60.53, 59.49, 84.49
24, 39.57, 66.45, 60.53, 59.49, 84.49
25, 39.57, 66.82, 61.0, 59.49, 84.49
